order_item_id,order_id,product_id,quantity,unit_price,line_total
5195,1195,336,6,125758.80,754552.80
5196,1196,280,5,19911.43,99557.15
5197,1197,28,5,130147.37,650736.85
5198,1198,342,8,130996.95,1047975.60
5199,1199,336,6,125758.80,754552.80
5200,1200,269,1,49639.08,49639.08
5201,1201,69,2,88392.06,176784.12
5202,1202,206,4,128489.16,513956.64
5203,1203,300,3,121982.59,365947.77
5204,1204,57,8,48547.80,388382.40
5205,1205,197,1,102276.72,102276.72
5206,1206,145,3,115173.09,345519.27
5207,1207,1,3,24892.01,74676.03
5208,1208,330,2,112466.59,224933.18
5209,1209,64,3,71461.56,214384.68
5210,1210,308,6,120725.95,724355.70
5211,1211,164,6,30076.69,180460.14
5212,1212,47,5,84141.60,420708.00
5213,1213,171,3,11785.22,35355.66
5214,1214,90,3,37415.93,112247.79
5215,1215,203,8,73953.78,591630.24
5216,1216,113,2,122373.52,244747.04
5217,1217,140,8,127707.01,1021656.08
5218,1218,46,2,25684.08,51368.16
5219,1219,116,4,51380.72,205522.88
5220,1220,292,7,121789.41,852525.87
5221,1221,123,7,37308.86,261162.02
5222,1222,292,6,121789.41,730736.46
5223,1223,80,2,103948.50,207897.00
5224,1224,92,1,46747.85,46747.85
5225,1225,283,8,6780.73,54245.84
5226,1226,111,8,111733.95,893871.60
5227,1227,248,6,13234.46,79406.76
5228,1228,199,3,8432.16,25296.48
5229,1229,295,7,40684.77,284793.39
5230,1230,29,1,42439.60,42439.60
5231,1231,38,6,72602.61,435615.66
5232,1232,46,3,25684.08,77052.24
5233,1233,203,4,73953.78,295815.12
5234,1234,227,3,82845.89,248537.67
5235,1235,196,5,147882.71,739413.55
5236,1236,336,4,125758.80,503035.20
5237,1237,75,6,1949.68,11698.08
5238,1238,143,8,35710.52,285684.16
5239,1239,254,5,73137.59,365687.95
5240,1240,192,6,579.81,3478.86
5241,1241,341,1,1427.12,1427.12
5242,1242,59,6,10302.43,61814.58
5243,1243,116,6,51380.72,308284.32
5244,1244,176,5,107962.09,539810.45
5245,1245,44,2,4881.58,9763.16
5246,1246,2,3,72076.32,216228.96
5247,1247,39,2,134779.64,269559.28
5248,1248,63,4,3152.11,12608.44
5249,1249,156,1,83721.91,83721.91
5250,1250,340,3,147084.18,441252.54
5251,1251,217,4,133295.03,533180.12
5252,1252,23,3,46839.01,140517.03
5253,1253,141,4,63844.84,255379.36
5254,1254,2,5,72076.32,360381.60
5255,1255,288,5,52846.37,264231.85
5256,1256,23,8,46839.01,374712.08
5257,1257,8,4,143286.97,573147.88
5258,1258,36,7,15183.42,106283.94
5259,1259,250,5,89424.85,447124.25
5260,1260,4,3,1578.26,4734.78
5261,1261,239,1,50218.98,50218.98
5262,1262,96,8,139618.86,1116950.88
5263,1263,334,8,139591.72,1116733.76
5264,1264,170,5,85595.62,427978.10
5265,1265,54,6,117929.23,707575.38
5266,1266,133,6,17530.70,105184.20
5267,1267,76,6,20304.76,121828.56
5268,1268,251,7,69049.69,483347.83
5269,1269,256,5,52202.19,261010.95
5270,1270,23,4,46839.01,187356.04
5271,1271,240,5,115747.14,578735.70
5272,1272,182,7,119496.36,836474.52
5273,1273,111,8,111733.95,893871.60
5274,1274,44,6,4881.58,29289.48
5275,1275,250,2,89424.85,178849.70
5276,1276,2,2,72076.32,144152.64
5277,1277,244,5,14457.53,72287.65
5278,1278,302,6,63707.31,382243.86
5279,1279,17,3,56339.64,169018.92
5280,1280,342,4,130996.95,523987.80
5281,1281,300,5,121982.59,609912.95
5282,1282,232,7,115724.60,810072.20
5283,1283,44,8,4881.58,39052.64
5284,1284,300,4,121982.59,487930.36
5285,1285,321,8,137735.77,1101886.16
5286,1286,348,4,33054.44,132217.76
5287,1287,44,1,4881.58,4881.58
5288,1288,347,2,60206.22,120412.44
5289,1289,313,4,58083.33,232333.32
5290,1290,261,6,26934.50,161607.00
5291,1291,312,3,16464.27,49392.81
5292,1292,91,3,29948.15,89844.45
5293,1293,348,2,33054.44,66108.88
5294,1294,70,4,38792.66,155170.64
5295,1295,28,5,130147.37,650736.85
5296,1296,257,1,30118.68,30118.68
5297,1297,159,8,105488.50,843908.00
5298,1298,332,3,137975.15,413925.45
5299,1299,201,5,20159.01,100795.05
5300,1300,267,4,48399.13,193596.52
5301,1301,77,8,17449.90,139599.20
5302,1302,214,6,90537.94,543227.64
5303,1303,218,3,35348.49,106045.47
5304,1304,231,5,124499.75,622498.75
5305,1305,317,6,138286.55,829719.30
5306,1306,137,1,87985.89,87985.89
5307,1307,125,1,51500.46,51500.46
5308,1308,63,6,3152.11,18912.66
5309,1309,127,8,28504.90,228039.20
5310,1310,140,3,127707.01,383121.03
5311,1311,152,8,74640.40,597123.20
5312,1312,40,1,20127.64,20127.64
5313,1313,73,7,91936.04,643552.28
5314,1314,300,6,121982.59,731895.54
5315,1315,42,7,122781.00,859467.00
5316,1316,184,6,66678.35,400070.10
5317,1317,237,3,126369.15,379107.45
5318,1318,251,7,69049.69,483347.83
5319,1319,328,2,104609.01,209218.02
5320,1320,347,7,60206.22,421443.54
5321,1321,166,3,21203.27,63609.81
5322,1322,41,6,60753.36,364520.16
5323,1323,156,8,83721.91,669775.28
5324,1324,26,3,35685.10,107055.30
5325,1325,74,5,81836.76,409183.80
5326,1326,105,6,8054.63,48327.78
5327,1327,323,5,138529.22,692646.10
5328,1328,191,2,13340.17,26680.34
5329,1329,178,3,97720.00,293160.00
5330,1330,57,7,48547.80,339834.60
5331,1331,161,8,143891.82,1151134.56
5332,1332,297,6,41219.89,247319.34
5333,1333,300,6,121982.59,731895.54
5334,1334,205,6,37006.09,222036.54
5335,1335,21,5,33026.40,165132.00
5336,1336,225,6,32141.51,192849.06
5337,1337,306,2,74755.47,149510.94
5338,1338,64,5,71461.56,357307.80
5339,1339,71,4,39555.41,158221.64
5340,1340,256,7,52202.19,365415.33
5341,1341,200,6,96671.03,580026.18
5342,1342,271,1,23045.97,23045.97
5343,1343,253,3,55654.07,166962.21
5344,1344,83,8,75205.42,601643.36
5345,1345,274,5,15383.47,76917.35
5346,1346,161,7,143891.82,1007242.74
5347,1347,151,6,133041.44,798248.64
5348,1348,37,6,99707.63,598245.78
5349,1349,294,4,113430.49,453721.96
5350,1350,110,5,99951.57,499757.85
