order_id,customer_id,order_date,total_amount,order_status
1093,201,2025-10-15,194191.20,Shipped
1094,298,2025-09-28,47597.71,Delivered
1095,188,2026-01-01,45750.24,Paid
1096,66,2026-04-29,748104.49,Shipped
1097,54,2025-12-27,57361.56,Delivered
1098,150,2026-01-24,531281.82,Pending
1099,165,2025-03-14,457455.96,Shipped
1100,194,2026-03-10,38622.76,Delivered
1101,59,2025-12-08,473291.32,Delivered
1102,221,2025-05-11,2676.22,Pending
1103,280,2025-11-13,441960.30,Delivered
1104,18,2025-09-17,248461.20,Shipped
1105,73,2025-06-11,254997.20,Shipped
1106,214,2025-04-27,683427.00,Delivered
1107,290,2025-06-14,296048.72,Cancelled
1108,124,2025-08-28,49639.08,Pending
1109,138,2026-02-05,7891.30,Shipped
1110,2,2025-10-01,279237.72,Paid
1111,44,2025-03-12,674320.80,Paid
1112,284,2026-04-25,377601.28,Delivered
1113,206,2025-01-10,557590.84,Shipped
1114,169,2025-06-07,31291.32,Delivered
1115,63,2026-04-04,145197.39,Delivered
1116,254,2026-07-06,333924.42,Shipped
1117,339,2025-12-31,859774.20,Delivered
1118,271,2025-05-08,278270.35,Paid
1119,228,2026-07-03,149044.67,Cancelled
1120,168,2026-04-30,210977.00,Paid
1121,222,2025-02-26,376922.92,Paid
1122,73,2025-07-01,50969.36,Paid
1123,2,2025-11-24,1182961.76,Delivered
1124,168,2025-06-11,679985.60,Cancelled
1125,159,2025-05-09,654759.24,Delivered
1126,134,2025-06-27,421240.72,Delivered
1127,1,2026-06-30,111175.85,Delivered
1128,95,2025-07-15,582032.70,Paid
1129,77,2026-07-08,347642.16,Delivered
1130,89,2026-07-06,285118.80,Shipped
1131,69,2026-03-13,707575.38,Delivered
1132,93,2025-07-21,68430.40,Delivered
1133,231,2025-03-07,598245.78,Paid
1134,236,2025-04-22,131321.58,Shipped
1135,228,2025-05-01,42439.60,Shipped
1136,188,2025-12-20,313115.70,Delivered
1137,322,2025-01-06,444703.40,Paid
1138,23,2026-07-06,179688.90,Shipped
1139,1,2025-06-22,92296.14,Paid
1140,205,2025-07-17,152964.16,Delivered
1141,337,2025-05-27,534702.60,Paid
1142,349,2026-04-15,33526.04,Delivered
1143,300,2026-02-22,86228.08,Shipped
1144,199,2026-04-01,952895.09,Delivered
1145,153,2025-03-04,269271.18,Delivered
1146,119,2025-08-05,41609.96,Pending
1147,199,2026-01-01,569311.50,Delivered
1148,105,2025-04-05,10837.20,Delivered
1149,320,2025-07-03,62836.68,Shipped
1150,75,2025-08-09,227134.44,Pending
1151,23,2025-09-08,587892.84,Shipped
1152,146,2026-02-01,323036.49,Shipped
1153,276,2026-07-24,375729.76,Shipped
1154,104,2025-12-09,9882.32,Delivered
1155,24,2026-01-22,180460.14,Paid
1156,13,2025-08-27,175308.18,Delivered
1157,115,2026-02-15,33026.40,Shipped
1158,320,2025-10-14,734241.12,Delivered
1159,136,2025-01-28,553146.20,Delivered
1160,254,2025-04-27,557582.05,Delivered
1161,194,2025-04-14,324176.16,Shipped
1162,48,2026-01-18,38227.02,Shipped
1163,321,2025-11-12,189889.47,Delivered
1164,118,2025-10-22,125909.69,Delivered
1165,46,2025-02-26,99720.90,Paid
1166,300,2026-01-24,892131.28,Pending
1167,32,2025-04-16,48123.69,Delivered
1168,266,2025-02-13,411045.76,Delivered
1169,132,2025-02-10,161272.08,Delivered
1170,118,2026-06-10,206273.04,Shipped
1171,314,2025-07-21,319910.73,Shipped
1172,22,2025-07-15,60237.36,Paid
1173,190,2025-07-21,102416.65,Cancelled
1174,146,2025-06-15,132987.52,Shipped
1175,196,2026-03-04,93050.84,Paid
1176,289,2026-05-18,261162.02,Delivered
1177,213,2025-12-19,4881.58,Shipped
1178,282,2026-03-05,646590.18,Delivered
1179,212,2025-11-26,162739.08,Delivered
1180,64,2025-08-26,734914.72,Delivered
1181,335,2025-01-05,1090525.52,Delivered
1182,300,2026-02-01,874906.13,Delivered
1183,8,2025-10-26,141998.10,Shipped
1184,201,2025-08-15,46478.86,Pending
1185,209,2025-05-26,438024.85,Delivered
1186,154,2025-01-30,894268.02,Delivered
1187,262,2025-11-28,836872.08,Shipped
1188,128,2025-08-26,464928.16,Shipped
1189,310,2025-09-11,433923.92,Paid
1190,181,2025-03-13,138444.21,Delivered
1191,52,2026-03-14,632358.88,Delivered
1192,55,2025-12-01,567992.40,Paid
1193,154,2025-08-07,703887.12,Shipped
1194,43,2025-11-08,846725.76,Delivered
1195,118,2025-08-22,754552.80,Paid
1196,304,2025-03-04,99557.15,Shipped
1197,50,2026-07-05,650736.85,Pending
1198,54,2026-06-01,1047975.60,Delivered
1199,119,2026-01-22,754552.80,Pending
1200,231,2025-11-29,49639.08,Cancelled
1201,40,2025-05-27,176784.12,Delivered
1202,298,2026-06-22,513956.64,Delivered
1203,122,2026-04-05,365947.77,Paid
1204,46,2025-08-09,388382.40,Delivered
1205,118,2025-11-23,102276.72,Delivered
1206,94,2025-03-01,345519.27,Shipped
1207,214,2025-03-15,74676.03,Delivered
1208,278,2025-01-06,224933.18,Delivered
1209,95,2026-06-26,214384.68,Pending
1210,147,2026-01-22,724355.70,Delivered
1211,9,2025-06-07,180460.14,Delivered
1212,235,2026-02-07,420708.00,Delivered
1213,313,2025-12-05,35355.66,Shipped
1214,226,2025-06-01,112247.79,Pending
1215,284,2025-09-05,591630.24,Paid
1216,135,2025-10-16,244747.04,Paid
1217,94,2025-03-05,1021656.08,Shipped
1218,179,2025-06-16,51368.16,Pending
1219,70,2025-08-11,205522.88,Paid
1220,293,2026-02-17,852525.87,Shipped
1221,199,2026-07-20,261162.02,Delivered
1222,188,2025-07-22,730736.46,Shipped
1223,244,2025-06-17,207897.00,Delivered
1224,343,2025-04-05,46747.85,Paid
1225,329,2026-03-05,54245.84,Shipped
1226,140,2026-06-15,893871.60,Paid
1227,273,2025-04-16,79406.76,Pending
1228,233,2026-03-03,25296.48,Cancelled
1229,274,2026-05-16,284793.39,Delivered
1230,170,2025-10-29,42439.60,Delivered
1231,84,2026-03-04,435615.66,Pending
1232,215,2025-01-11,77052.24,Shipped
1233,260,2026-01-09,295815.12,Delivered
1234,37,2025-06-29,248537.67,Shipped
1235,221,2025-07-01,739413.55,Delivered
1236,337,2025-01-06,503035.20,Paid
1237,223,2025-03-21,11698.08,Delivered
1238,276,2025-11-27,285684.16,Paid
1239,44,2026-02-17,365687.95,Shipped
1240,226,2026-06-26,3478.86,Shipped
1241,69,2025-02-17,1427.12,Pending
1242,33,2025-05-09,61814.58,Pending
1243,273,2026-01-21,308284.32,Paid
1244,263,2025-03-02,539810.45,Shipped
1245,135,2025-02-03,9763.16,Shipped
1246,345,2025-02-05,216228.96,Pending
1247,83,2025-11-16,269559.28,Pending
1248,161,2025-01-29,12608.44,Delivered
1249,52,2025-03-25,83721.91,Shipped
1250,262,2025-02-24,441252.54,Delivered
1251,103,2026-02-06,533180.12,Shipped
1252,203,2025-01-09,140517.03,Delivered
1253,57,2025-01-19,255379.36,Delivered
1254,39,2026-05-24,360381.60,Delivered
1255,21,2026-07-08,264231.85,Delivered
1256,253,2026-03-11,374712.08,Paid
1257,245,2025-04-30,573147.88,Delivered
1258,312,2025-03-02,106283.94,Shipped
1259,30,2025-06-23,447124.25,Pending
1260,245,2025-06-20,4734.78,Paid
1261,179,2026-04-17,50218.98,Delivered
1262,62,2026-06-23,1116950.88,Delivered
1263,249,2026-06-02,1116733.76,Paid
1264,185,2025-06-11,427978.10,Paid
1265,295,2026-01-04,707575.38,Pending
1266,290,2025-12-27,105184.20,Delivered
1267,4,2025-09-19,121828.56,Delivered
1268,225,2026-03-27,483347.83,Paid
1269,97,2026-06-20,261010.95,Paid
1270,108,2026-07-21,187356.04,Delivered
1271,297,2026-01-28,578735.70,Delivered
1272,316,2025-11-12,836474.52,Delivered
1273,185,2025-09-11,893871.60,Pending
1274,170,2025-04-28,29289.48,Cancelled
1275,211,2026-01-17,178849.70,Paid
1276,315,2025-04-19,144152.64,Delivered
1277,94,2026-04-11,72287.65,Delivered
1278,167,2025-10-22,382243.86,Delivered
1279,51,2025-01-16,169018.92,Paid
1280,281,2026-02-24,523987.80,Shipped
1281,335,2025-04-17,609912.95,Delivered
1282,118,2025-05-02,810072.20,Paid
1283,208,2026-06-18,39052.64,Delivered
1284,4,2025-07-20,487930.36,Delivered
1285,338,2026-04-02,1101886.16,Delivered
1286,324,2026-04-17,132217.76,Paid
1287,205,2025-09-17,4881.58,Paid
1288,232,2025-10-08,120412.44,Shipped
1289,323,2026-07-25,232333.32,Delivered
1290,125,2025-08-21,161607.00,Delivered
1291,9,2026-02-04,49392.81,Shipped
1292,288,2025-11-19,89844.45,Delivered
1293,161,2026-06-08,66108.88,Paid
1294,303,2025-03-04,155170.64,Paid
1295,200,2026-06-22,650736.85,Paid
1296,161,2026-01-23,30118.68,Delivered
1297,111,2025-07-04,843908.00,Delivered
1298,276,2026-02-23,413925.45,Delivered
1299,235,2025-08-15,100795.05,Paid
1300,68,2025-02-24,193596.52,Shipped
1301,320,2026-06-10,139599.20,Delivered
1302,276,2025-06-28,543227.64,Shipped
1303,108,2025-05-31,106045.47,Shipped
1304,295,2025-09-19,622498.75,Delivered
1305,210,2025-01-23,829719.30,Delivered
1306,316,2025-08-05,87985.89,Pending
1307,217,2025-09-06,51500.46,Pending
1308,63,2026-03-20,18912.66,Paid
1309,319,2025-08-04,228039.20,Paid
1310,187,2025-11-02,383121.03,Cancelled
1311,278,2025-08-07,597123.20,Delivered
1312,323,2026-06-24,20127.64,Paid
1313,334,2025-07-23,643552.28,Paid
1314,329,2026-07-21,731895.54,Delivered
1315,347,2025-08-04,859467.00,Paid
1316,206,2025-10-25,400070.10,Shipped
1317,274,2025-07-15,379107.45,Delivered
1318,178,2025-07-08,483347.83,Delivered
1319,41,2026-01-03,209218.02,Delivered
1320,173,2026-07-13,421443.54,Pending
1321,154,2025-09-10,63609.81,Shipped
1322,192,2026-04-24,364520.16,Cancelled
1323,157,2026-01-24,669775.28,Delivered
1324,321,2026-02-13,107055.30,Paid
1325,161,2026-02-08,409183.80,Paid
1326,193,2025-09-16,48327.78,Delivered
1327,227,2026-03-24,692646.10,Shipped
1328,291,2025-05-06,26680.34,Delivered
1329,83,2025-04-16,293160.00,Shipped
1330,28,2025-07-07,339834.60,Paid
1331,94,2025-09-18,1151134.56,Paid
1332,299,2025-08-21,247319.34,Paid
1333,41,2025-01-21,731895.54,Delivered
1334,114,2025-03-31,222036.54,Delivered
1335,244,2025-05-08,165132.00,Delivered
1336,228,2026-06-30,192849.06,Delivered
1337,196,2026-02-11,149510.94,Delivered
1338,205,2025-09-29,357307.80,Delivered
1339,78,2025-05-11,158221.64,Delivered
1340,175,2025-07-05,365415.33,Delivered
1341,12,2025-05-18,580026.18,Paid
1342,211,2026-01-31,23045.97,Paid
1343,182,2026-03-12,166962.21,Delivered
1344,94,2026-03-06,601643.36,Delivered
1345,121,2025-08-19,76917.35,Shipped
1346,193,2025-08-11,1007242.74,Paid
1347,21,2025-07-31,798248.64,Pending
1348,20,2025-04-17,598245.78,Delivered
1349,171,2025-03-11,453721.96,Delivered
1350,311,2026-04-28,499757.85,Shipped
